PLAYLIST_REF, ID, Practiced, Feedback
1, 1311, 2023-02-08 20:38:28, 
1, 1904, 2023-03-02 21:30:42, 
1, 1350, 2021-08-12 23:07:04, 
1, 1440, 2023-03-25 21:50:21, 
1, 1455, 2021-08-24 23:27:09, 
1, 5574, 2023-03-12 14:11:04, 
1, 1619, 2021-09-07 23:34:27, 
1, 1686, 2021-08-15 23:31:49, 
1, 1715, 2023-06-01 21:25:29, 
1, 1716, 2023-06-06 22:44:00, 
1, 1729, 2023-02-02 21:11:50, 
1, 3978, 2023-03-29 22:51:55, 
1, 1770, 2021-07-31 11:05:03, 
1, 1774, 2021-08-27 23:40:12, 
1, 3221, 2023-03-31 23:10:10, 
1, 1778, 2023-02-04 22:42:29, 
1, 1803, 2023-04-01 23:30:49, 
1, 1819, 2021-08-11 23:48:21, 
1, 989, 2023-01-17 21:21:25, 
1, 1849, 2022-08-09 21:06:12, 
1, 2495, 2023-03-19 21:59:33, 
1, 1955, 2023-06-02 21:58:55, 
1, 1969, 2023-02-24 22:52:35, 
1, 2022, 2023-05-20 21:40:45, 
1, 2065, 2021-09-09 23:00:00, 
1, 446, 2023-03-07 22:07:20, 
1, 2077, 2021-07-29 22:06:45, 
1, 2079, 2021-08-02 22:17:35, 
1, 114, 2021-08-14 23:38:24, 
1, 248, 2021-08-10 21:20:04, 
1, 359, 2023-01-30 22:02:58, 
1, 411, 2023-01-23 22:10:58, 
1, 2521, 2023-04-13 20:45:27, 
1, 642, 2023-03-18 22:24:17, 
1, 750, 2021-08-24 23:27:07, 
1, 2844, 2021-08-31 23:00:00, 
1, 3159, 2023-01-30 21:52:44, 
1, 924, 2022-08-18 21:16:49, 
1, 3080, 2022-08-16 21:17:45, 
1, 1391, 2021-09-07 23:34:25, 
1, 1454, 2023-02-19 21:52:13, 
1, 1640, 2021-09-02 23:47:51, 
1, 168, 2023-03-31 23:08:04, 
1, 1697, 2021-08-12 23:25:54, 
1, 1807, 2023-04-08 23:32:54, 
1, 1958, 2023-01-21 20:19:44, 
1, 1960, 2023-01-12 21:26:26, 
1, 89, 2021-08-03 22:41:15, 
1, 391, 2023-05-20 21:53:00, 
1, 436, 2021-08-21 16:00:19, 
1, 545, 2021-07-31 20:20:08, 
1, 549, 2021-08-05 22:22:40, 
1, 560, 2021-09-03 23:00:00, 
1, 622, 2021-08-06 23:57:52, 
1, 745, 2021-07-21 22:17:08, 
1, 776, 2023-06-05 23:32:51, 
1, 1031, 2021-08-21 16:00:19, 
1, 1208, 2021-08-26 23:52:05, 
1, 1240, 2023-02-20 22:47:24, 
1, 3686, 2023-01-04 00:00:00, 
1, 1581, 2023-02-23 23:23:59, 
1, 1588, 2021-08-15 23:13:28, 
1, 1766, 2023-06-11 22:46:08, 
1, 1878, 2021-08-19 00:59:35, 
1, 1888, 2023-02-01 23:11:03, 
1, 1957, 2021-07-25 18:30:02, 
1, 1172, 2021-08-27 23:40:13, 
1, 807, 2021-09-09 23:00:00, 
1, 4164, 2022-12-31 20:22:13, 
1, 125, 2021-08-03 22:14:03, 
1, 5071, 2023-05-20 21:15:37, 
1, 2162, 2022-12-26 20:22:35, 
1, 156, 2021-08-04 23:40:59, 
1, 161, 2023-01-18 22:48:32, 
1, 187, 2023-03-26 23:10:23, 
1, 206, 2023-01-27 21:26:06, 
1, 308, 2023-02-03 21:58:07, 
1, 321, 2021-09-02 23:47:52, 
1, 1263, 2023-05-02 23:25:57, 
1, 364, 2023-03-03 21:23:59, 
1, 382, 2021-09-05 22:27:18, 
1, 394, 2021-07-25 18:29:55, 
1, 406, 2021-08-16 23:13:37, 
1, 2874, 2023-01-31 21:33:00, 
1, 2714, 2023-03-05 22:35:18, 
1, 557, 2021-08-02 21:57:24, 
1, 597, 2023-03-25 21:51:40, 
1, 2670, 2023-03-17 22:04:12, 
1, 617, 2021-07-26 15:56:43, 
1, 2894, 2023-03-30 21:48:05, 
1, 643, 2021-07-22 23:04:46, 
1, 669, 2021-08-03 22:14:07, 
1, 696, 2021-09-06 19:48:43, 
1, 712, 2023-05-04 23:20:35, 
1, 730, 2021-08-02 21:57:21, 
1, 775, 2023-03-26 23:28:22, 
1, 1746, 2023-03-04 21:59:22, 
1, 846, 2023-02-10 22:38:51, 
1, 874, 2021-08-23 23:29:06, 
1, 888, 2021-08-24 23:57:53, 
1, 5496, 2023-03-13 22:59:39, 
